program,id,checked_at,type,verdict,detail,page_updated,shell,http,url,master_keys,master_note,note,diff_report
fpact,fpact_ppbi_landing,,linkpage,MANUAL_REVIEW,"Redirects off-site to the legacy files.medi-cal.ca.gov manual-query page, which timed out on 2026-07-02; current PPBI sections live on the client-rendered mcweb portal. Detection is MCSS + fpact_news_archive; open the PPBI manually when flagged.",,,manual,https://familypact.org/providers/policies-procedures-and-billing-instructions/,,ppbi_source_section rows for any changed section,,
fpact,fpact_news_archive,2026-07-16T22:03:46+00:00,linkpage,unchanged,,,False,200,https://familypact.org/news-and-updates-archive/,,triage per announcement,Program news archive; new post or PDF links = policy updates to read. Pattern excludes feed/json noise.,
fpact,fpact_superbill_current,2026-07-16T22:03:46+00:00,pdf,unchanged,,,False,200,https://familypact.org/wp-content/uploads/2026/03/Superbill-Updated-1.2026_2.27.26_508.pdf,,all rows with on_superbill = yes,Versioned URL - a revision ships under a NEW filename; the news archive linkpage catches the new link.,
fpact,fpact_enrollment,2026-07-16T22:03:46+00:00,html,unchanged,,,False,200,https://familypact.org/providers/enrollment/,,provider-enrollment / site-certifier rows and denials,,
fpact,fpact_dhcs_telephonic_guidance,2026-07-16T22:03:46+00:00,pdf,unchanged,304 not modified,,False,304,https://www.dhcs.ca.gov/wp-content/uploads/2025/10/Guidance-Telephonic-Communications.pdf,G2010;G2012,,Telephonic/virtual communication benefit guidance (Oct 2025).,
fpact,fpact_ofp_page,2026-07-03T00:48:07+00:00,html,UNREACHABLE,http 404,,False,404,https://www.dhcs.ca.gov/services/ofp/Pages/default.aspx,,program-level changes; triage per announcement,Rendered client-side (observed 2026-07-02) - blind to content; familypact.org and MCSS carry OFP program news.,
fpact,fpact_wic_24005,,html,MANUAL_REVIEW,"leginfo robots.txt disallows automated fetch - review quarterly by hand. Statute changes arrive via bills, so MCSS and program news normally give advance notice.",,,manual,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=24005.&lawCode=WIC,,eligibility / payer-of-last-resort denial rows,,
fpact,fpact_manual_page_mcweb,2026-07-16T22:03:46+00:00,html,unchanged,304 not modified,,True,304,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/publications/manual?community=family-pact,,,Angular shell - plain GET returns no content (verified 2026-07-02). Kept to detect shell changes; NOT a content detector. MCSS is.,
fpact,fpact_manual_docs,2026-07-16T22:03:46+00:00,manual_list,CONFIG_TODO,manual_list url is empty - paste the portal JSON endpoint (README: one-time DevTools step),,,,,,ppbi_source_section rows for any changed section,"Per-document monitor for the entire Family PACT manual list (the page that shows a Revision Date per section). Paste the JSON endpoint the page loads its list from (README, one-time DevTools step). Every PDF found is then watched individually - content hash, portal Revision Date, new docs auto-discovered, removals flagged - and CHANGED sections get a before/after text diff in reports/diffs/. Until the url is set, this reports CONFIG_TODO and MCSS remains the detector.",
fpact,fpact_bulletin_probe,2026-07-16T22:03:46+00:00,bulletin_probe,PROBE_INCONCLUSIVE,#224:shell(0ch); #225:shell(0ch); #226:shell(0ch) - portal is client-rendered; MCSS email is the reliable detector,,,probe,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/publications/bulletin?community=family-pact&issueNumber={issue},,,Best-effort probe; portal is client-rendered so expect PROBE_INCONCLUSIVE - MCSS email is the reliable detector.,
medi_cal_ffs,ffs_tri_page,2026-07-16T22:03:46+00:00,linkpage,unchanged,,,False,200,https://www.dhcs.ca.gov/medi-cal-targeted-provider-rate-increases-and-investments/,,reimbursement_basis rows citing TRI / SB 94,TRI landing; link-set diff catches re-versioned fee schedule filenames and new APL redlines.,
medi_cal_ffs,ffs_tri_fee_schedule,2026-07-16T22:03:46+00:00,binary,unchanged,304 not modified,,False,304,https://www.dhcs.ca.gov/wp-content/uploads/2025/10/CY-2024-TRI-Fee-Schedule-Feb.xlsx,,,Current file linked from the TRI page (first run showed the older CY-1062024.xlsx registry link was superseded). Versioned filename - replacement appears via ffs_tri_page.,
medi_cal_ffs,ffs_sb94_fp_fee_schedule,2026-07-16T22:03:46+00:00,binary,unchanged,304 not modified,,False,304,https://www.dhcs.ca.gov/wp-content/uploads/2025/10/SB94-Family-Planning-Services-Fee-Schedule.xlsx,,FPACT rows priced on the SB 94 schedule,"SB 94 family-planning augmented fee schedule (supersedes TRI for FP codes with Z30.x). Discovered on the TRI page, first run.",
medi_cal_ffs,ffs_supplement_39,2026-07-16T22:03:46+00:00,pdf,unchanged,304 not modified,,False,304,https://www.dhcs.ca.gov/formsandpubs/laws/Documents/Supplement-39-to-Attachment-419-B.pdf,,,SPA 23-0035 TRI methodology.,
medi_cal_ffs,ffs_wic_14105_201,,html,MANUAL_REVIEW,leginfo robots.txt disallows automated fetch - review quarterly by hand.,,,manual,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=14105.201.&lawCode=WIC,,,,
medi_cal_ffs,ffs_rates_page_mcweb,2026-07-16T22:03:46+00:00,html,unchanged,304 not modified,,True,304,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/rates?tab=rates,,,Client-rendered; rate lookups must be done interactively.,
managed_medi_cal,mcp_apl_index,2026-07-16T22:03:46+00:00,linkpage,CHANGED,content text hash differs,,False,200,https://www.dhcs.ca.gov/formsandpubs/Pages/AllPlanLetters.aspx,,,"First run matched zero links with the APL-specific pattern - broadened to all PDFs; text hash still covers page changes. If the link list stays empty, capture the real APL listing URL from the browser and repoint.",
managed_medi_cal,mcp_boilerplate_contract,2026-07-16T22:03:46+00:00,pdf,unchanged,304 not modified,,False,304,https://www.dhcs.ca.gov/hi/wp-content/uploads/2025/10/2024-Managed-Care-Boilerplate-Contract.pdf,,,,
managed_medi_cal,mcp_tri_faq,2026-07-16T22:03:46+00:00,pdf,unchanged,304 not modified,,False,304,https://www.dhcs.ca.gov/services/Documents/DirectedPymts/CY-2024-TRI-FAQ-20250312.pdf,,,,
managed_medi_cal,mcp_sfhp_providers,2026-07-16T22:03:46+00:00,html,CHANGED,content text hash differs,,False,200,https://www.sfhp.org/providers/,,,SF Local Initiative plan; plan-specific PA/modifier/filing news.,
fqhc,fqhc_wic_14132_100,,html,MANUAL_REVIEW,leginfo robots.txt disallows automated fetch. ACTION - AB 116 amendment took effect 2026-07-01; manually verify the amended provider list and update the fqhc-billing reference.,,,manual,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=14132.100.&lawCode=WIC,,PPS-billable provider list in fqhc-billing reference,,
fqhc,fqhc_chw_faq,2026-07-16T22:03:46+00:00,pdf,unchanged,304 not modified,,False,304,https://www.dhcs.ca.gov/services/medi-cal/Documents/CHW-FAQs-FQHC-RHC-IHS.pdf,,,,
fqhc,fqhc_cms_center,2026-07-16T22:03:46+00:00,html,CHANGED,content text hash differs,,False,200,https://www.cms.gov/medicare/payment/prospective-payment-systems/federally-qualified-health-centers-fqhc-center,,,"G2025 rate, care-management code set, telehealth expiries.",
fqhc,fqhc_ecfr_405_subpart_x,,html,MANUAL_REVIEW,eCFR bot wall redirects automated fetches off-host. eCFR publishes an official public API for exactly this use (see ecfr.gov developer documentation) - switching this entry to the API endpoint for Title 42 Part 405 is the planned fix; until then review by hand when CMS guidance changes.,,,manual,https://www.ecfr.gov/current/title-42/chapter-IV/subchapter-B/part-405/subpart-X,,,,
fqhc,fqhc_dhcs_3097_page,2026-07-16T22:03:46+00:00,html,unchanged,,,False,200,https://www.dhcs.ca.gov/forms-laws-publications/forms/cost-report-forms-and-documents/,,,Wrap reconciliation forms and due-date extensions.,
fqhc,fqhc_manual_page_mcweb,2026-07-16T22:03:46+00:00,html,unchanged,304 not modified,,True,304,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/publications/manual?community=rural,,,,
medi_cal_rx,rx_cdl_page,2026-07-16T22:03:46+00:00,html,unchanged,,,True,200,https://medi-calrx.dhcs.ca.gov/home/cdl/,,,"Client-rendered (observed 2026-07-02) - blind to content. Use the Medi-Cal Rx subscription service on the same site as the detector; if a direct CDL download URL is captured from the browser, add it here as a binary entry.",
ncci,ncci_medicaid_files,2026-07-16T22:03:46+00:00,linkpage,CHANGED,content text hash differs,,False,200,https://www.cms.gov/medicare/coding-billing/ncci-medicaid/medicaid-ncci-edit-files,,,Quarterly PTP/MUE file drops appear as new links (first run captured the 2026 Q3 set effective 07/01/2026).,
