program,program_name,id,type,url,human_url,host,manual,registry_keys,registry_note,note
fpact,Family PACT,fpact_news_archive,linkpage,https://familypact.org/news-and-updates-archive/,,familypact.org,False,,triage per announcement,Program news archive; new post or PDF links = policy updates to read. Pattern excludes feed/json noise. Also catches re-versioned artifacts (e.g. a new Superbill filename).
fpact,Family PACT,fpact_manual_docs,manual_list,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/graphql,,mcweb.apps.prd.cammis.medi-cal.ca.gov,False,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record."
medi_cal_ffs,Medi-Cal FFS,ffs_tri_fee_schedule,binary,https://www.dhcs.ca.gov/wp-content/uploads/2025/10/CY-2024-TRI-Fee-Schedule-Feb.xlsx,https://www.dhcs.ca.gov/medi-cal-targeted-provider-rate-increases-and-investments/,www.dhcs.ca.gov,False,,reimbursement_basis rows citing TRI,"CY 2024 Targeted Rate Increase fee schedule - the code list and rates for primary care, obstetric and non-specialty mental health services. Rates stay in effect until further notice (Prop 35), so a content change here is a real rate or code-list change."
medi_cal_ffs,Medi-Cal FFS,ffs_sb94_fp_fee_schedule,binary,https://www.dhcs.ca.gov/wp-content/uploads/2025/10/SB94-Family-Planning-Services-Fee-Schedule.xlsx,https://www.dhcs.ca.gov/medi-cal-targeted-provider-rate-increases-and-investments/,www.dhcs.ca.gov,False,,FPACT rows priced on the SB 94 schedule,"SB 94 comprehensive family-planning fee schedule (supersedes TRI for FP codes with Z30.x). Binary watch - a spreadsheet has no extractable text, so this entry reports that the file changed, not which rows changed; open it from the landing page to compare."
managed_medi_cal,Managed Medi-Cal,mcp_apl_index,html,https://www.dhcs.ca.gov/formsandpubs/Pages/AllPlanLetters.aspx,,www.dhcs.ca.gov,False,,,"All Plan Letters index, watched by page text only. APLs are served through /file/<slug>-pdf/ redirects rather than direct .pdf hrefs, so link diffing was removed 2026-07-24. If the text hash proves equally noisy, capture the real APL listing URL from the browser and repoint the entry; MCSS Managed Care is the backstop."
managed_medi_cal,Managed Medi-Cal,mcp_boilerplate_contract,pdf,https://www.dhcs.ca.gov/hi/wp-content/uploads/2025/10/2024-Managed-Care-Boilerplate-Contract.pdf,,www.dhcs.ca.gov,False,,,"Hard-dated versioned filename (2025/10 upload path) - a revision likely ships under a new URL, which this entry alone cannot see. Treat as a point-in-time watch."
managed_medi_cal,Managed Medi-Cal,mcp_tri_faq,pdf,https://www.dhcs.ca.gov/services/Documents/DirectedPymts/CY-2024-TRI-FAQ-20250312.pdf,,www.dhcs.ca.gov,False,,,"Hard-dated filename (20250312), so a revision ships under a new URL and this entry goes UNREACHABLE rather than CHANGED. Read a 404 here as ""the FAQ was reissued, find it on the TRI landing page"". This URL also intermittently answers 200 with an HTML bot-check page instead of the PDF; that reports UNREACHABLE and keeps the last good baseline."
fqhc,FQHC,fqhc_cms_center,html,https://www.cms.gov/medicare/payment/prospective-payment-systems/federally-qualified-health-centers-fqhc-center,,www.cms.gov,False,,,"G2025 rate, care-management code set, telehealth expiries."
fqhc,FQHC,fqhc_dhcs_3097_page,html,https://www.dhcs.ca.gov/forms-laws-publications/forms/cost-report-forms-and-documents/,,www.dhcs.ca.gov,False,,,Wrap reconciliation forms and due-date extensions.
fqhc,FQHC,fqhc_rural_manual_docs,manual_list,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/graphql,,mcweb.apps.prd.cammis.medi-cal.ca.gov,False,,fqhc-billing reference rows; PPS / wrap / per-visit code rows on change,"Per-document monitor for the four RHC/FQHC manual sections (rural, ruralcd billing codes, ruralex billing examples, ruralhosp swing bed) - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, diffs on change. rural.pdf was revised 2026-07-16, the day before this entry was added. MCSS RHC/FQHC email remains the backstop detector."
